country,name,cases,deaths,recovered,last_update
SR,Suriname,1,0,0,2020-03-14T16:33:03
SR,Suriname,4,0,0,2020-03-20T14:43:04
SR,Suriname,5,0,0,2020-03-22T23:45:00
SR,Suriname,5,0,0,2020-03-23T23:19:21
SR,Suriname,7,0,0,2020-03-24T23:37:15
SR,Suriname,8,0,0,2020-03-25T23:33:04
SR,Suriname,8,0,0,2020-03-26T23:48:18
SR,Suriname,8,0,0,2020-03-27T23:23:03
SR,Suriname,8,0,0,2020-03-28T23:05:25
SR,Suriname,8,0,0,2020-03-29T23:08:13
SR,Suriname,8,0,0,2020-03-30T22:52:33
SR,Suriname,9,0,0,2020-03-31T23:43:43
SR,Suriname,10,0,0,2020-04-01T21:58:34
SR,Suriname,10,0,0,2020-04-02T23:25:14
SR,Suriname,10,1,0,2020-04-03T23:56:18
SR,Suriname,10,1,0,2020-04-04T23:34:04
SR,Suriname,10,1,0,2020-04-05T23:06:26
SR,Suriname,10,1,0,2020-04-06T23:21:55
SR,Suriname,10,1,0,2020-04-07T23:04:29
SR,Suriname,10,1,3,2020-04-08T22:51:39
SR,Suriname,10,1,4,2020-04-09T23:02:19
SR,Suriname,10,1,4,2020-04-10T22:53:48
SR,Suriname,10,1,4,2020-04-11T23:56:45
SR,Suriname,10,1,4,2020-04-12T03:31:35
SR,Suriname,10,1,6,2020-04-13T23:07:34
SR,Suriname,10,1,6,2020-04-14T23:33:12
SR,Suriname,10,1,6,2020-04-15T22:56:32
SR,Suriname,10,1,6,2020-04-16T23:30:31
SR,Suriname,10,1,6,2020-04-17T23:30:32
SR,Suriname,10,1,6,2020-04-18T22:32:28
SR,Suriname,10,1,6,2020-04-19T23:40:41
SR,Suriname,10,1,6,2020-04-20T23:36:27
SR,Suriname,10,1,6,2020-04-21T23:30:30
SR,Suriname,10,1,6,2020-04-22T23:30:32
SR,Suriname,10,1,6,2020-04-23T23:30:31
SR,Suriname,10,1,6,2020-04-24T21:30:34
SR,Suriname,10,1,7,2020-04-25T23:30:33
SR,Suriname,10,1,7,2020-04-26T23:30:31
SR,Suriname,10,1,7,2020-04-27T23:30:31
SR,Suriname,10,1,7,2020-04-28T23:32:24
SR,Suriname,10,1,8,2020-04-29T23:32:26
SR,Suriname,10,1,8,2020-04-30T23:32:27
SR,Suriname,10,1,8,2020-05-01T23:32:36
SR,Suriname,10,1,8,2020-05-02T23:32:31
SR,Suriname,10,1,9,2020-05-03T23:32:29
SR,Suriname,10,1,9,2020-05-04T22:32:33
SR,Suriname,10,1,9,2020-05-05T23:32:29
SR,Suriname,10,1,9,2020-05-06T23:32:28
SR,Suriname,10,1,9,2020-05-07T22:32:32
SR,Suriname,10,1,9,2020-05-08T23:32:35
SR,Suriname,10,1,9,2020-05-09T23:32:33
SR,Suriname,10,1,9,2020-05-10T23:32:32
SR,Suriname,10,1,9,2020-05-11T23:32:30
SR,Suriname,10,1,9,2020-05-12T23:32:26
SR,Suriname,10,1,9,2020-05-13T23:32:26
SR,Suriname,10,1,9,2020-05-14T23:32:28
SR,Suriname,10,1,9,2020-05-15T23:32:20
SR,Suriname,10,1,9,2020-05-16T23:32:19
SR,Suriname,10,1,9,2020-05-17T23:32:23
SR,Suriname,11,1,9,2020-05-18T18:01:58
